name	address	website	archive_oldest	archive_newest	offers repair	First Price Date	First Price	First Price (Inflation adjusted)	First Price Source	Current Price Date	Current Price	Current Price Source	lat	lon
Cycle Factory 1130	Stadlergasse 1	https://www.cycle-factory.at/wien			Yes	2020-08-14	139		https://web.archive.org/web/20200814204945/https://www.cycle-factory.at/wien/werkstatt/	2025-07-23	179	https://www.cycle-factory.at/wien/werkstatt/	48.1814311	16.2853308
Fahrrad Lab					No website								34.220389	70.3800314
Fahrradtechnik Johannes Neugebauer	Neulinggasse 24, 1030 Wien				No website								48.1992259	16.3882961
Die Absteige	Ybbsstraße 26, 1020 Wien	https://lenkerbande.at/absteige-1020/			Does not offer service								48.2217384	16.3997971
Bikestore Servicecenter	Erzherzog-Karl-Straße 14, 1220 Wien	https://bikestore.cc/wien-1220			No prices online	2022-01-27			https://web.archive.org/web/20220127210802/https://bikestore.cc/bikestore/werkstatt.html	2025-07-23		https://bikestore.cc/werkstatttermin-vereinbaren.html	48.2380134	16.4326865
Repa-Rad-Tur.at	Bessemerstraße 38, 1210 Wien	https://www.repa-rad-tur.at			Yes	2024-10-14	120		https://web.archive.org/web/20241014123945/https://fahrrad-service-reparatur.at/service-reparatur.html	2025-07-23	120	https://fahrrad-service-reparatur.at/service-reparatur.html	48.2571769	16.4138801
Velotek	Wallensteinstraße 54/2, 1200 Wien	https://velotek.at/			No prices online	2020-08-03			https://web.archive.org/web/20200803181343/http://velotek.at/	2025-07-23		https://www.velotek.at/	48.2311438	16.3757581
Mei Radl Werkstatt	Heiligenstädter Str. 140, 1190 Wien	https://www.mei-radl.at/			No prices online	2020-08-08			https://web.archive.org/web/20200808051444/https://www.mei-radl.at/?page_id=12	2025-07-23		https://www.mei-radl.at/?page_id=12	48.2554588	16.3660501
Federelement					No website								34.220389	70.3800314
Christian Proschinger Fahrradtechnik e.U.	Röntgengasse 32, 1170 Wien, Österreich				No website								48.2256398	16.2872627
Walter Johann Knechtl - Die Fahrradtechnik	KLG Heuberggstätten Parz. 45, 1100 Wien				No website
Lenkerbande - Kompetenzzentrum für Bahnhofsräder	Emilie-Flöge-Weg 4, 1100 Wien	https://www.lenkerbande.at/			Does not offer service								48.1815079	16.3844932
Radplatz	Kaiserstraße 106, 1070 Wien	https://radplatz.at/			Yes	2020-06-26	79		https://web.archive.org/web/20200626155624/http://radplatz.at/leistungen-preise/	2025-07-23	79	https://radplatz.at/leistungen-preise/	48.2082047	16.3394586
